review_id,source,product_category,review_text,rating,label
REV00011,Google Play Store,Games - Augmented Reality,"Play at your own risk. It’s a fun game until something goes wrong; once it does, don’t expect the company to protect the time and money you’ve invested. After years of play, my account was compromised. Despite having every piece of evidence a legitimate owner should have—original email address, trainer name, purchases etc. the recovery system proved to be an impenetrable wall of automated indifference. Because the intruder managed to change the email. Leaving me disappointed and frustrated.",3,neutral
REV00012,Google Play Store,Games - Social Deduction,"Soo this game is pretty much good in term of gameplay but the main issue for me is sometime when the round started my screen went black when i check it, it not my phone but rather than from the game itself, and sometime the kill button wont work and honestly it really ruin the experience, and when thr ghost do visual task it also visible to me when im still alive, can you fix this? Thank you if you can, but overall this game is pretty much to play with, the features were unique and exciting",3,neutral
REV00013,Google Play Store,Games - Endless Runner,it is the best game I've played as a child. Please return the in add purchases and complete season 2 of the subway surfers animated series. Please also visit Kenya this year and underwater too 😁,3,neutral
REV00014,Google Play Store,Games - Augmented Reality,I love this app but it is starting to become annoying how I am not getting the weekly achievement of how many km I have walked during 1 week and it also not calculating the km for the buddy and eggs either. I even restarted the whole sync when I seen this happening the first time and its still not happening.,3,neutral
REV00015,Google Play Store,Games - Action,"this game is trash. extremely p2w. new brawlers are extremely overpowered. new mechanics = overpowered brawlers. classes like support and tanks are overpowered because other classes that are supposed to have their own speciality are also available in these classes. e.g byron, outranges marksmen. not to mention the horrible matchmaking and game mechanic issue, if you try to play 3v3s, you will be met with counters and bad randoms. in showdown, you will be met with teamers and wintraders.",1,negative
REV00016,Google Play Store,Games - Battle Royale,this new update has a problem with clicking when you are in the match it cs sometimes it cannot buy gun you touch a store and it open but you cannot buy a gun like it stuck I have been a gamer in Free Fire for 3 years now and I just found this problem in this new update l. Garena fix your game so we can enjoy playing.,3,neutral
REV00017,Google Play Store,Games - Action RPG,this is of the best games Ive ever played. the variety of characters is refreshing and the ways you can play is unlimited. the story has brought me to tears before and I am sure it will continue to and the twists in the story are magnificent. if you're considering playing I say you should. if you like a game where you need a lot of effort this game is for you.,5,positive
REV00018,Google Play Store,Games - Action,"give us the option to instantly open all our drops. I hate playing a few games then I gotta tap my screen for 2 minutes to sit through a million boxes opening. I dont even care what I get, and theres no way to skip this right now.",3,neutral
REV00019,Google Play Store,Games - Strategy,"It’s getting really hard to obtain cards in this game. Even when you finally get enough to exchange, the rewards are mostly cosmetics, which don’t really help with progression. It feels unbalanced and not very rewarding.",1,negative
REV00020,Google Play Store,Games - Sandbox,I love roblox!! its such a game that's so cool! it has so many more games in it! although it has bad updates like the age check and more bad updates...its still a good game though! you can make your avatar but you need robux thats calmed with real life money...still a good game! everyone should play the game! join the dandys world Easter event! its limited! new floors new stickers and more! play the game and start to learn how to play dandys world and become a pro in it!,5,positive
REV00021,Google Play Store,Games - Sandbox,"First off, good things about this game. It's really really good for making friends, also for finding games you'd love, even if your tastes are specific. Now for the bad, the censorship is just awful, I've had people spell out curse words in the chat and have nothing done but saying a completely normal sentence can get it tagged. Secondly, it's really glitchy, crashing & lagging randomly and I still can't verify my phone number due to a glitch.",3,neutral
REV00022,Google Play Store,Games - Racing,"hi Gameloft, I really love this game it's fantastic. the graphics the cars the tracks but ur missing one track that is for pro. the nürburgring track. it's a full twisty track ever made to test the car performance. and I would like to request, you Gameloft, should add this track to this game. thank you",4,positive
REV00023,Google Play Store,Games - Action,"Big ZERO FOR SCAMMING PEOPLE Well..if you invest in something as a character in this game then you think that your investment is secured,but unfortunately it is not.. Its not fair ( at least give to people chance to pick up 3-5 favorite characters ) Question why do I become some stupid characters from all that I had..?",3,neutral
REV00024,Google Play Store,Games - Puzzle,"soooo I had like 100 colour bombs and 50 stripes and wrapped candy and etc on my inventory. Due to a storage problem I had to uninstall candy crush and install it again. After I did, all of them vanished like 0 colour bombs and 0 wrapped candy 😭😭",2,negative
REV00025,Google Play Store,Games - Augmented Reality,"Hate the CONSTANT taking of things such as making less rare candy from raids. QOL updates tend to make the game harder and are usually a nerf on resources or an attempt to monetize further. On top of limits on gameplay and paywalls. The game can be really slow at times. Other than that cool game, although. It is fun and possible to play without paying. Events are fun, and it's stays updated. Although updates can be an up and down relationship. Latest update has my game freezing consistently.",1,negative
REV00026,Google Play Store,Games - MOBA,How can I say that this game is a good game because many characters in this game require a lot of skills and abilities but they are very weak and very squishy but there are some characters that do not require skill abilities easily but they are destroying our new meta because the game is just making easy characters to attract new players and making them very strong like now freya,1,negative
REV00027,Google Play Store,Games - Social Deduction,"oh man, this is a masterpiece within the years, but there is a catch, why don't you make friend system more features? like knowing are they online now or chat like any other game, maybe show the last tine they were online, i have a friend named salvatore (her id is tinybass#9964) and she accidently blocked me, can you make a features to help me know my friends? i lost so many of them herr because how mysterious and unavailable information was",5,positive
REV00028,Google Play Store,Games - Battle Royale,one of the best game experience of my life bcz animation graphics guns and lot of things. I play this game from past 5 year but my first account is so I am angry and quite this game. addiction is addiction. now I play game every day. thank you krafton,4,positive
REV00029,Google Play Store,Games - Strategy,This Game 🎮 is very very interesting and interlegent because this Game 🎮 have use important something for knowledge... For Example - How to attach Animes. How to manage our soldier and Use.. where site have to use mince. Grened or spell. act...so There are no last for knowledge..step by step or level by high level update or upcoming one by one New knowledge... I'm playing this game 🎮 since 1Year.. Very very Thank you Google And Clash Of Clans for this Game 💞💞💞,5,positive
REV00030,Google Play Store,Games - Battle Royale,"I've been playing this game for over 3years now even though I lost my account but guess what, this game, in my perspective is the best especially when there is this mode where you have to really focus on the heads. I would really appreciate if there was a mode where players are able to talk with their enemies in the 1v1 mode for those that lack interacting emotes. ☺😊😊😊",5,positive
REV00031,Google Play Store,Games - Racing,"Fun game to pass the time. Can also be played in short bursts. Unfortunately the introduction of waiting to refuel, get racing tickets for daily events, etc somewhat hampers the ability to play longer sessions. Overall progression is rewarding, albeit somewhat slow. The racing is fun and addicting, with great visuals and audio. Definitely worth checking out.",5,positive
REV00032,Google Play Store,Games - Racing,"Great game with excellent graphics and very smooth, precise controls. The ads are relevant and not intrusive, and the game’s campaign is engaging and well put together. Overall, it’s definitely worth playing. 🎮✨",5,positive
REV00033,Google Play Store,Games - Battle Royale,"Free Fire is a great game, and I've been playing it since 2017. It's changed a lot! The graphics were not that good initially, but now they're awesome! That's why I gave it 3 stars. The graphics have improved a lot, but since they removed the old peak, it's not as fun to play. I request Free Fire to bring back the old peak. For new players, it's just a peak, but for old players, it's an emotion.",3,neutral
REV00034,Google Play Store,Games - Racing,"The ""Touch Drive"" (Auto-steer) gets really annoying when someone is in front of you and the car doesn't drive around it and to actually steer yourself is EXTREMELY hard. Although the game itself is beautiful and fun. Love the graphic details. I also have to commend the sales department who decided to give you everything you need to advance in career mode, at first and hook you, than lock you up completely where all of the sudden all your cars are useless and not fast enough to make you spend $$$",4,positive
REV00035,Google Play Store,Games - Battle Royale,"is a very popular and exciting battle royale game played by millions of people around the world. It is specially designed for mobile users, which means it runs smoothly even on low-end smartphones. One of the best things about Free Fire is that each match lasts around 10 minutes, making it fast-paced and full of action. In every match, 50 players land on an island from a plane and fight to be the last one standing. Players choose their landing spot, collect weapons, ammunition, medical kits, and",5,positive
REV00036,Google Play Store,Games - Sandbox,"The app is great but there are two major issues. I can't play games like Welcome to bloxburg, they do consume storage but the lag is just too much. And second is age verification. This is a game meant for 14+ kids and teens, then why in age verification do one has to be so old? I know it's for security reasons but this new update is making the game literally dead. I hope you guys consider these issues.",3,neutral
REV00037,Google Play Store,Games - Battle Royale,been playing the game now for about 5 years. really good game. - Coins are awarded regularly but nothing worth while to use it on. - luck royal spins are clearly prompted to land on items that are not worth spinning. if you want good items you need to spend lots of money. YOU WILL NEVER WIN GOOD ITEMS WITHOUT MONEY BEING SPENT. - Severs are linked with the middle east so very rarely will you play with users from south africa. More maps for br would be awesome!,3,neutral
REV00038,Google Play Store,Games - Augmented Reality,"I would give 0 if possible. Don't bother with in app support. The answer to every issue, every bug, every exploit, every issue is to blame your cell connection. Doesn't matter if you're on WiFi/wired or that you didn't have any other symptoms of connection issues. They won't fix or respond to anything, and instead will blame your wireless provider ad nauseum. Checking in a year later: nothing has improved. I do not recommend this game. Scopely does not appear to care about server stability.",1,negative
REV00039,Google Play Store,Games - Action,good I love this game. so time consuming I've had the game for a while and switched between accounts. although they could change something to where you don't need an email but just a phone number. cuz my bro used my email and when he got a new phone he was still using my email and I couldn't save my account sadly. only thing that needs to be changed. they could probably add more power points and coins and credits to get for rewards and stuff.,5,positive
REV00040,Google Play Store,Games - Racing,"downloaded after RR3 was terminated and have to say no where near the experience of RR3. pure fantasy with unrealistic tracts, cars going through buildings, over the roof, somersaulting in air. absolute bloody stupid. and if you drive in manual mode the handling/ steering is awful. and also too large (4.4GB) on storage. only keeping as there's no other decent car racing games.",1,negative
REV00041,Google Play Store,Games - Strategy,"I've been playing this game since 2018 but now from the year 2025 it is ruining the experience to play, removed the old ranked matches, old ui of army training, battle pass recently, design of heros, and why did you change ranks Ui and from 2022 changed battle hero design. I request the coc team to bring back the older features in order to make better and fun to play. Im losing hope playing the game.",2,negative
REV00042,Google Play Store,Games - Battle Royale,"Enable 120 FPS for all capable phones. Right now, some players get 120 FPS in Free Fire while others don’t, and it directly affects gameplay smoothness, reaction time, and fairness. FPS should be based on device capability, not limited to specific models.",5,positive
REV00043,Google Play Store,Games - Battle Royale,I have played PUBG Mobile for over 3 years and stay active in events and crates. I still have not received the M416 Glacier skin. Two of my friends started about 6 months ago and both got it. This feels unfair and discouraging. Please explain how the drop system works and whether there is protection for long term players. I hope you improve fairness for loyal players.,3,neutral
REV00044,Google Play Store,Games - Sandbox,"Minecraft is a fun, multi player game that you can build, survive, and plays games. even if you don't have money to get things on the app you can get mods for free on some of the apps on the app store. I love this game and it's amazing",5,positive
REV00045,Google Play Store,Games - Battle Royale,"Too many hacker, i reported too many times and you did nothing, you're an awful company.. don't replay this comment cause i know you gonna write the same thing about REPORTING.. i just wanna let people know that you're bad company.. EDIT: after returning in 2 years still awfull game full and hacks and the company can't do anything thing cause they're too many, even if they ban 1 or 2 they are manyy",1,negative
REV00046,Google Play Store,Games - Social Deduction,"I really like this game, however, since I live in Afghanistan, I do not get the latest updates on time. I want to update from my current version, which is 17.2.1a, to the 17.2.2, but I cannot since it's not available in my region, and that really frustrates me since I really like this game, but I cannot update.",3,neutral
REV00047,Google Play Store,Games - Strategy,"Clash of Clans is an amazing game that keeps me hooked for hours! Building my village, training troops, and strategizing attacks is super satisfying. The community is great, and playing with my clan feels like being part of a fun team. I love how every update brings new challenges and keeps the game fresh. It’s a perfect mix of strategy, teamwork, and excitement that makes it one of my all-time favorite mobile games!",5,positive
REV00048,Google Play Store,Games - Shooter,"I loved the game more,brother,I love this company,the game,and all its games,such real realism,and great physics,and great and real sounds,and very real weapons forms,and movements.You feel that the new movements of weapons are in them in real life,and the sounds of weapons improve,and become more audible.Only for the weapons that have obtained new movements,I talk about enemy weapons that are heard from afar,Qadiya,do not hear,but the new ones,yes. love you love you love you🖤🖤🖤",5,positive
REV00049,Google Play Store,Games - MOBA,"game is good but matchmaker is trash, always on a team without an understanding of teamwork while opposing team have good teamwork. Another awful thing about this game every player can report you without bases and without evidence even though you got the highest end match result and you will get banned. The reporting system is being used to bully the player they don't like.",1,negative
REV00050,Google Play Store,Games - Action RPG,I don't like the way it kicks me out even if I put everything on lowest and fps to 24 and turned off everything but it still gave me lags even if my Ms is 90 it still lags me n kicks me out of the game please fix it for low end devices n also fix the collection mark because it doesn't really mark all of the things you wanted to ascend like I marked something and it only shows one circle mark but when I get out of the circle there's a bunch of them outside n I don't like it pls fix it.,1,negative
REV00051,Google Play Store,Games - Social Deduction,I'm really sad to give this 3 stars as this is an amazing game. The issue is I get disconnected from games sometimes and when I do it does it again and again even tho I have perfect internet. When this happens the game says I intentionally disconnect and won't let me play for five minutes,3,neutral
REV00052,Google Play Store,Games - Sandbox,"It's a great game platform, but I have some issues, so my internet drops sometimes, and my wifi will kick in, but in the millisecond, it switches it completely, which disconnects me from the game. If it was something like a momentary latency spike or frame rate drop, it wouldn't be a big deal, but it completely disconnects me so 4 stars until it's fixed or more streamlined, my review has decreased due to the new age group restrictions I can't chat with my younger friends anymore",3,neutral
REV00053,Google Play Store,Games - Puzzle,"Since yesterday, 2026-03-13, the ads just close and do not give you a reward. It is really frustrating. I love the game, but now I do not even want to open and try it. Can it be because of the meta ads?",3,neutral
REV00054,Google Play Store,Games - Action RPG,"Such a good game! enjoying the graphics, the battles, the endless open world! Been playing for only a week now, but already obsessed. downside: just a bit lagging on mobile :)",5,positive
REV00055,Google Play Store,Games - Action,"Been playing since launch, still hands down the best mobile multiplayer game out there, no ads and the amount of stuff you get even if you play completely free is amazing. for the past few weeks now there's a bunch of network issues with matches despite having a great connection, gets tad bit annoying when every few matches you just can't move due the lag, screwing up my and my team's ranked matches :/",3,neutral
REV00056,Google Play Store,Games - Strategy,"Pay-to-win garbage. If you aren't willing or unable to spend all your credit card allowance for the month, you won't do well in this game. If you somehow beat the pay to win players and begin to advance quickly, the game nerfs you and places you against the worst basement-dwelling, thumb-sucking, sweaty players in the game. It's repetitive, it's beyond frustrating, and it only continues to get worse with time.",1,negative
REV00057,Google Play Store,Games - Puzzle,"I have been playing this for years and enjoy the game but at this time getting really fed up with adverts completely knocking game off and losing streaks that are hard to keep, at first it was temu but now it's most of them as soon as you hit the cross. most disappointing",3,neutral
REV00058,Google Play Store,Games - Battle Royale,"I am facing a serious high ping issue in Free Fire. During matches, my ping suddenly spikes without any reason, even though my internet connection is stable and working fine. There is no problem with my phone or network. This issue now happens in almost every match, in both BR and CS modes. Whenever an enemy appears, the ping suddenly becomes high and causes lag, and I lose the fight unfairly. Please fix this issue as soon as possible. It is making the game very frustrating to play. 🙄😐",1,negative
REV00059,Google Play Store,Games - Racing,"the game is perfect..But i have one major complaint...when you unlock a new season the game just freezes and gets stuck with the in game music still playing, it's quite frustrating, I'm also on a high end device S24 plus snapdragon variant for that matter...I would have to close the whole game and re lunch it to get back to business..Kindly do something about it",3,neutral
REV00060,Google Play Store,Games - Puzzle,I am going to give you 3 star because you don't have the coupons anymore on here and I think that's bull cape and when I started playing this game a long time ago it was not like that but I like the game I just wish you would put the coupons back on here it would be a lot better and then you could get stuff,3,neutral
REV00061,Google Play Store,Games - Action,"Brawl Stars is now completely ruined. I was looking forward to the new season and the new way, but it is now a disaster! I used to purchase the Brawl pass for about £6.99 which used to last for 2 months, which equals to about £3.50 per month. Now the same Brawl pass costs £6.99 per season, which is for 1 month! I've been a very loyal customer. I have 2 accounts that I play simultaneously, and that would cost me double. Very disappointed @ Brawl Stars",1,negative
REV00062,Google Play Store,Games - Action RPG,"This game is very fun and I personally enjoy it alot! With the lore and the character designs, they ate with those. But despite that this game does have its flaws sometimes, as in farming for stuff in the game. The amount of resin just doesn't feel like alot and it is painful to wait to even have enough. The character designa can be flawed too in terms of skin and body representation. Too many characters are quite pale or ashy, but for the rest the representation is quite astounding (sometimes).",4,positive
REV00063,Google Play Store,Games - Action,"Coming from a long time player, I have been playing this game since I was in school now I completed my college. They are not focusing on improving the matchmaking and the bad randoms who pull you down each match after every 3 losses they give you a complementary bot match with bot enemies like I'm not skilled enough for a real match. I have complained about this in the customer support but they are not even considering the matchmaking process.",3,neutral
REV00064,Google Play Store,Games - Racing,"i had to make a 1 star review, I honestly feel disappointed at how the game went, from technical issues to problematic matchmaking, to the locked content, while there are some events that are are achievable, however most of the time the game wants you to play more for just a specific event, i don't even think new people can enjoy the experience",1,negative
REV00065,Google Play Store,Games - Racing,Waste of time and what money I did spend on it. After every update the game got worse. Now it's to the point where I can't even race. The game just crashes. I will never play another Asphalt game again. I will stick with Need for Speed and Gran Trismo. The only real driving and racing games out there.,5,positive
REV00066,Google Play Store,Games - Racing,"I am tired of the ""Perform no jumps in a single special event race"". Every time that mission show up I play every special event race I have available, multiple times, different routes, and there is always at least 1 jump you can't avoid in every race.",1,negative
REV00067,Google Play Store,Games - Battle Royale,"been experiencing a lot of long waiting time for Metro Royale in pubg Mobile the game should just let you load into a game by yourself if you're playing solo I've experienced waiting times up to 20 minutes with the consider of excepting other queued matches and still experiencing long waiting, fix this, make metro Royale over with occasional pvp run in like your undercover mode",3,neutral
REV00068,Google Play Store,Games - Sandbox,"the game is good, the only problem is that it's a bit laggy, my phone is not low quality, it has good specs and can handle any online game like Genshin Impact, but when it comes to.minecraft it's a bit laggy. So, i'm hoping that you fix it. It's not a negative comment but I'm hoping for more improvements. Thank you, and God bless! 💗💞",4,positive
REV00069,Google Play Store,Games - Social Deduction,Why iam stucking in lvl 109? I've been like six months play and iam stuck in this lvl and my XP is complete and iam still stuck on it! Also iam sign in... now idk whats wrong...when i opened it today its look like iam install it like the first time! And my account now have been lost for no reason!!,3,neutral
REV00070,Google Play Store,Games - Action,"Played brawl stars for at least 6 years, and I have loved every second of it! The game has gotten VERY free 2 play, but the new stuf they add every update is a little much. I have been with this game through the ups and downs, it has been great to see the game grow! Edit: I LOVE how you guys did the prestige trophy thing because now I feel like I can actually play the brawlers that I like without having to worry about the trophies being reset! PLZ don't fall for all the gay pride stuff supercel!",5,positive
REV00071,Google Play Store,Games - Battle Royale,"Pubg, as a player of 7 years I respectfully ask you to either remove the new UI or make it so it's a changeable option between the old and new one. the new UI and some of the textures look ugly, and I'm sure, you've heard this complaint more than 5 times today and will face more from now onwards. Even if there is already one that allows you to switch between the ones you prefer, I'd be grateful if you were to inform that, but since the update was just today, I haven't seen any, so please do",4,positive
REV00072,Google Play Store,Games - Puzzle,"The only game I pay to play although since the prices have increased in the last week I won't be paying to play anymore. One of the bundles was to help through hard levels, it was 2.99, today however it's increased in price to 3.99. And 8.99 to empty the piggy bank to receive 60 gold. That's just pure greed. And it's taking the fun out of the game.",1,negative
REV00073,Google Play Store,Games - Strategy,So I started playing it again after a long time and noticed quite a changes. everything is fine except the leagues. The new system itself is good but really didn't liked the leagues. Old ones were much better. If you guys revert it I'll rate 5 stars again.,2,negative
REV00074,Google Play Store,Games - Shooter,Game has become so much frustrating as most of the player are playing with so fast movements which is not Even possible with given game settings. may they are using auto taper or something and also hacking gameplay. no matter how you try to do best still they are ahed of you. I mean it is not possible to play such fast movements gane even you apply different settings.,1,negative
REV00075,Google Play Store,Games - Battle Royale,"DO NOT INSTALL! Worst gaming experience ever. Too many hackers, this is ridiculous, players are flying, shooting behind walls, yet when you report them. Insufficient evidence. I am like what the heck? on the other hand your internet goes off. your account gets put under suspicion (some MM8) error. It gets you depressed especially when you play rank, see people flying yet, if you leave the game you get penalized for leaving. jaja. What a JOKE!",1,negative
REV00076,Google Play Store,Games - Sandbox,"Still play this game all the time- have for about a decade. But these new updates... I have no words. It feels like the game went from a neon metropolis buzzing with soon-to-be friends... To a post-apocalyptic wasteland. See someone? Great, but now you most likely can't speak to them. As they remove older things I've paid my own money for, as I watch once-popular games die out... Things I worked hard to make, purged... I can't just watch this! But alas, their whole thing is not caring about us.",1,negative
REV00077,Google Play Store,Games - Puzzle,"I have been playing Candy Crush for over 10 years. Very proud of my level, 18,000÷ But recently I spend more time trying to x out of ads. I don't mind ads but when you can't x out and end up having to reboot the game while loosing procress. As much as I love your game, I'm starting think it's not worth the hassle.",3,neutral
REV00078,Google Play Store,Games - Action,Login error after the recent update. The game just throws me into the match too late or otherwise I get the slow network pop-up all the time in the middle and at the start of a match. And now it wouldn't even boot up. My phone and network are not in any way as it only started with this recent update.,1,negative
REV00079,Google Play Store,Games - Social Deduction,"Game is awsome. However, sometimes I get banned for no apparent reason. When I'm disconnected from a game, I sometimes get a notice that says that I've been banned for a certain amount of time because I intentionally left the game. Promise me, I did nothing wrong, I don't know how this happens. Please fix this issue, I don't want to potentially get permanently banned.",4,positive
REV00080,Google Play Store,Games - Endless Runner,this game has done my device spread virus because when my mobile is showing me apps after closing the game and there is no one any game in my but after downloading the Subway Surfers in 1 to 2 months my mobile is getting hang and the ads are coming and I cannot remove that ads from my phone so when I add the DNS when after that when I click on Subway Surfers for rewards show the ads were not coming and I am not getting any more lifelines of AD why cannot see the ads it is a very big problem,2,negative
REV00081,Google Play Store,Games - Battle Royale,"At the beginning even when no one was aware of the game named ""pubg"" me and my friends were playing it in season 1. the game was better till season 12 it was running smoothly everything was just perfect but then the idea of event came that let's have events in game then it started lagging and many things went wrong. although we were still playing till today but now this update the latest one is so worse and so bad that i and my friends Left the game totally what bad event they have given bad.",1,negative
REV00082,Google Play Store,Games - Racing,this game to needs to be fixed for multi-player it's needs to find people that match with their ranks when you are up against players that are over 1000 rank then you you can't keep up with them it's not a fair match at all you have a car that is only 900 to 1000 rank going up against 2000 to 5000 rank have chance to win by the time you are half way through the race they are already passed the finish line it's really uneven,2,negative
REV00083,Google Play Store,Games - Puzzle,"You are making the candles bitter, by controlling my music app while playing. you keep turning it off. I like to listen to music while playing and I have to leave the game to keep turning my music app back on. very annoying 😑",3,neutral
REV00084,Google Play Store,Games - Racing,"Asphalt Legends delivers an incredible racing experience with stunning graphics, realistic cars, and smooth gameplay. The car customization options are impressive, and the online multiplayer mode keeps things exciting. Controls are easy to master, and every race feels intense and action-packed. Perfect for car lovers and speed enthusiasts! 🚗💨 Highly recommend it to anyone who enjoys high-speed racing games.",5,positive
REV00085,Google Play Store,Games - Strategy,"Good game per usual, but the new pass isn't even worth it seems like they are pushing for people to buy more from the store rather than give you enough money to upgrade cards it has taken me way longer to get enough money from the pass than before! and you cant use your google points to get a discount on the battle pass anymore.",3,neutral
REV00086,Google Play Store,Games - Action,"The new update has been so horrendous. They said they have fixed matchmaking, but it's even worse. I get paired up with teammates who are lower levels than I am and have lower trophy counts, while I have opponents who have even more trophies than me. I get teammates with 1k-2k trophies while I'm at 33k trophies. Matchmaking has become honestly ridiculous and it's taken the fun out of the game.",2,negative
REV00087,Google Play Store,Games - Endless Runner,"ughh man! this old time classic game just hits different! Bored? this is the game to get rid of that! trust me it's worth it! don't think twice, Just download.",5,positive
REV00088,Google Play Store,Games - Racing,"Definitely one of the most mobile games I have ever played. Gameloft has a good reputation to me, Dragon Mania Legends was a game I used to play all the time. They know how to make good mobile games, and this shows it. The gameplay is super fun, and the graphics are amazing for a mobile game. My only worry is if the monetization will become an issue later on in my playthrough, but as of right now, it is a very Free To Play friendly game. I'll update this review later on if that does change.",5,positive
REV00089,Google Play Store,Games - Strategy,this game completely deserves 5 starts I think it deserves more than 5. this game change thinking of person from they already thought. if you attack a village multiple times with new strategy then you know something different .I complete love this game more than any app. it also tell us to take rest after playing game .i only can't deal with bulilder base or all thing in this is awesome .if you are player who not want to pay for anything then by you will play this like a pro if u have mind gt,5,positive
REV00090,Google Play Store,Games - Augmented Reality,"12/5/25 gps- (11) error code no map. fix your app!!! I have lowered you to 1 star for the constant glitches when I didn't touch the screen, things popping up and knocking me out of battles and fights. the balls not throwing they fall at my feet. THIS GAME SUCKS HORRIBLEY!!!. downgraded to 1*. how much money do I need to invest in before you can actually afford to fix the game? I know you need an AI to do it for you. It must be expensive, that's why nothing is fixed no matter how many updates.",1,negative
REV00091,Google Play Store,Games - Action RPG,"no skip button its been many years and somehow there is still no skip button for dialogue. seriously, why? 6 archon quests, dozens of story quests, even more dozens of world/side quests, absolutely tiring and exhausting to click through all of them. all other gacha games this style have added a skip button already, why not genshin?",2,negative
REV00092,Google Play Store,Games - Action RPG,"Not recommend for newbie player. Unless you have a lot money to spend this game maybe yeah u can play. It's typical gambling game. I don't really like that 'lost 50 pull' system. Wasted my time to collect primogem just to get character that I don't want. At least put guarantee system at banner like Wuwa, max 80 pull u can get character/weapon u want. Lastly, hey developer, u should change that standard banner to new character.",1,negative
REV00093,Google Play Store,Games - Action,changing my review because they are super manipulative. everytime I get close to a goal they match me with teams that are impossible to beat. I'm at almost 50k trophies and it so obvious that they use sleazy tactics to keep you on the game longer. it's very annoying. I want to be a casual player and still progress.,2,negative
REV00094,Google Play Store,Games - Action RPG,"I've been playing the game since its day 1 of release, so thats 5 years of playing. yes i used to love the game no matter what, but things are different now. I feel like they have become more pay 2 win money hungry, and not just that, they actually dont listen to their player base one bit. They say they do things, give out stuff, its all a facade, they mostly dont care. If you look at the new game mode ""Imaginarium Theatre"" or ""Stygian Onslaught"" you need a lot of characters, which u need to pay",1,negative
REV00095,Google Play Store,Games - Puzzle,"Fun game when it works. I deleted this before due to frustration and it doesn't look like things are any better. I get kicked out during races and time limited rewards. Everytime I get kicked out, I lose lives and any special items I tried to use. Probably gonna delete again. Too bad.",3,neutral
