review_id,source,product_category,review_text,cleaned_text,tokens,token_count,rating,label
REV00011,Google Play Store,Games - Strategy,"Good game like to play with my friends SuperCell has never disappointed i would always look forward to my daily shop rewards every day lol. unfortunately I have to add to my review, this is because they added things like heros and level 16 which in my opinion has ruined the experience of playing and now 100% supports pay to win, this is proven when u go against people who are max level, in arena 11 or something like that I think it was great until it wasn't. All good things must come to an end.",good game like play friend supercell never disappoint would always look forward daily shop reward every day lol unfortunately add review add thing like hero level opinion ruin experience play support pay win prove go people max level arena something like think great n't good thing must come end,good | game | like | play | friend | supercell | never | disappoint | would | always | look | forward | daily | shop | reward | every | day | lol | unfortunately | add | review | add | thing | like | hero | level | opinion | ruin | experience | play | support | pay | win | prove | go | people | max | level | arena | something | like | think | great | n't | good | thing | must | come | end,49,3,neutral
REV00012,Google Play Store,Games - Sandbox,"I really love Roblox, I have been playing it throughout almost my whole childhood. But there is still some issues. Like for example no matter how many times I update or delete the app and reinstall it. It still bugs out has has glitches. I love Roblox but the bugs I have are so bad sometimes it freezes my computer or phone. One time it froze my computer to the point where I could not even turn it off or on. And I had to charge it and hard reset it for it to even work again.",really love roblox play throughout almost whole childhood still issue like example no matter many time update delete app reinstall still bug glitch love roblox bug bad sometimes freeze computer phone one time freeze computer point could not even turn charge hard reset even work,really | love | roblox | play | throughout | almost | whole | childhood | still | issue | like | example | no | matter | many | time | update | delete | app | reinstall | still | bug | glitch | love | roblox | bug | bad | sometimes | freeze | computer | phone | one | time | freeze | computer | point | could | not | even | turn | charge | hard | reset | even | work,45,3,neutral
REV00013,Google Play Store,Games - Racing,"Positives-good graphics, decent cars, quick races, fun modes to play, club rewards Negatives-way over priced shop(car pack shouldn't cost 100 bucks and that's with them saying its 65% off...), cars take forever to unlock, glitches like players having bad connections and seem to get a speed boost, map with the trains destroys you if on active drive when coming down from a jump, race says I come in lower than 3rd place when I finish top 3. Overall-IT is a fun game to kill time but a huge money grab. I understand its free to play but a mobile game shouldn't just focus on players running to the shop to keep up with the rest. The shop is the downfall. I would pay to use it if it wasn't so poorly managed with the prices.",positive good graphic decent car quick race fun mode play club reward negative way price shop car pack n't cost buck 's say car take forever unlock glitch like player bad connection seem get speed boost map train destroy active drive come jump race say come lower rd place finish top overall fun game kill time huge money grab understand free play mobile game n't focus player run shop keep rest shop downfall would pay use n't poorly manage price,positive | good | graphic | decent | car | quick | race | fun | mode | play | club | reward | negative | way | price | shop | car | pack | n't | cost | buck | 's | say | car | take | forever | unlock | glitch | like | player | bad | connection | seem | get | speed | boost | map | train | destroy | active | drive | come | jump | race | say | come | lower | rd | place | finish | top | overall | fun | game | kill | time | huge | money | grab | understand | free | play | mobile | game | n't | focus | player | run | shop | keep | rest | shop | downfall | would | pay | use | n't | poorly | manage | price,80,3,neutral
REV00014,Google Play Store,Games - Social Deduction,"When i go on the game and it finishes loading, it automatically crashes me out of the game. I don't know but i think the April fools update is causing this problem.",go game finish load automatically crash game n't know think april fool update cause problem,go | game | finish | load | automatically | crash | game | n't | know | think | april | fool | update | cause | problem,15,3,neutral
REV00015,Google Play Store,Games - Puzzle,I can tell this game is mostly being run by AI rn bc it's become a pain in the AS*¡ when I watch an ad and tap on the x to exit instead it takes me to the play store and it breaks my win streak. It has done this about too many times and it's frickin irritating and a waste of time. I'm wondering how many people it's done this to! they should fix it!! I'm starting to get really sick of playing this game!! I'd rather play Monopoly Go 😤 Swipe stress away my as*!!!,tell game mostly run ai rn bc 's become pain watch ad tap exit instead take play store break win streak do many time 's frickin irritate waste time 'm wonder many people 's do fix 'm start get really sick play game 'd rather play monopoly go face_with_steam_from_nose swipe stress away,tell | game | mostly | run | ai | rn | bc | 's | become | pain | watch | ad | tap | exit | instead | take | play | store | break | win | streak | do | many | time | 's | frickin | irritate | waste | time | 'm | wonder | many | people | 's | do | fix | 'm | start | get | really | sick | play | game | 'd | rather | play | monopoly | go | face_with_steam_from_nose | swipe | stress | away,52,2,negative
REV00016,Google Play Store,Games - Puzzle,"just re-download after not playing for over a decade. interesting setup. super easy. I'm sure it will get harder as it did before, but currently, I don't like playing. I'm only on level 36. There's too much of the computer finishing matches. it's going so fast I don't even see these magical moves that complete the match. There is no satisfaction for me.",download not play decade interest setup super easy 'm sure get harder currently n't like play 'm level 's much computer finish match 's go fast n't even see magical move complete match no satisfaction,download | not | play | decade | interest | setup | super | easy | 'm | sure | get | harder | currently | n't | like | play | 'm | level | 's | much | computer | finish | match | 's | go | fast | n't | even | see | magical | move | complete | match | no | satisfaction,35,3,neutral
REV00017,Google Play Store,Games - Battle Royale,"The game itself has kept me engaged for long periods of time. i have played for almost 2-3 years now i think and i have never had a problem logging in until lately after the new CS update whenever I've tried to play, it pauses my logging screen and says that i have a network issue even thought my net does not as all other apps do work along with the fact that that same thing is happening to two of my other friends. Aside from that it has kept me entertained and excited to play hence the 4 stars.",game keep engage long period time play almost year think never problem log lately new c update whenever 've try play pause log screen say network issue even think net not apps work along fact thing happen two friend aside keep entertain excite play hence star,game | keep | engage | long | period | time | play | almost | year | think | never | problem | log | lately | new | c | update | whenever | 've | try | play | pause | log | screen | say | network | issue | even | think | net | not | apps | work | along | fact | thing | happen | two | friend | aside | keep | entertain | excite | play | hence | star,46,4,positive
REV00018,Google Play Store,Games - Sandbox,"Overall the game is really good(fun, offline, enjoyable etc), the only problem for me is the ""licensing error"" it says it can't verify I purchased the game(which I did), and the only solution is to reconnect to internet. This isn't much of a problem backthen since it only occured like 2-3 times in 1 year, but over time it happens more often, like I got this error 3 times this month. Please fix this problem",overall game really good fun offline enjoyable etc problem license error say ca n't verify purchase game solution reconnect internet n't much problem backthen since occur like time year time happen often like get error time month please fix problem,overall | game | really | good | fun | offline | enjoyable | etc | problem | license | error | say | ca | n't | verify | purchase | game | solution | reconnect | internet | n't | much | problem | backthen | since | occur | like | time | year | time | happen | often | like | get | error | time | month | please | fix | problem,40,3,neutral
REV00019,Google Play Store,Games - Sandbox,"fun but everything is starting to go pink like when I go on the next day everything is pink so I have to go out and go back in it's super frustrating. plus I keep trying to update minecraft but it doesn't update pls help. and mojang stop turning minecraft into a minecraft mod I mean spears that's an add on if I ever seen one,happy ghast u can ride another add on, stop turning minecraft into an add on unless u wanna go out of business.",fun everything start go pink like go next day everything pink go go back 's super frustrate plus keep try update minecraft n't update pls help mojang stop turn minecraft minecraft mod mean spear 's add ever see one happy ghast ride another add stop turn minecraft add unless wan na go business,fun | everything | start | go | pink | like | go | next | day | everything | pink | go | go | back | 's | super | frustrate | plus | keep | try | update | minecraft | n't | update | pls | help | mojang | stop | turn | minecraft | minecraft | mod | mean | spear | 's | add | ever | see | one | happy | ghast | ride | another | add | stop | turn | minecraft | add | unless | wan | na | go | business,53,2,negative
REV00020,Google Play Store,Games - Social Deduction,"Among us is one of the best games I played to be honest, the update changed a lot of things... Like the chat , we can't choose what we want to write , they write sentences that will let us chat . And the roles they added like the tracker , noisemaker, shapeshifter ... These are good roles because playing among us with imposters and crewmtes , it will be really boring . So I love this game and I give it a 4 ⭐ because it's good . But I hate when it disconnects 5min but I can leave and rejoin .",among u one best game play honest update change lot thing like chat ca n't choose want write write sentence let u chat role add like tracker noisemaker shapeshifter good role play among u imposter crewmtes really bore love game give star 's good hate disconnect min leave rejoin,among | u | one | best | game | play | honest | update | change | lot | thing | like | chat | ca | n't | choose | want | write | write | sentence | let | u | chat | role | add | like | tracker | noisemaker | shapeshifter | good | role | play | among | u | imposter | crewmtes | really | bore | love | game | give | star | 's | good | hate | disconnect | min | leave | rejoin,49,4,positive
REV00021,Google Play Store,Games - Battle Royale,"Request to Bring Back the Old PUBG Settings Hello PUBG Team, I am a regular PUBG player and I want to share my opinion about the recent update. The new UI and the changed settings are not comfortable for many players. The old interface was simple, smooth, and easy to use, but the new one feels complicated and confusing. Many players are facing difficulties in finding settings and controlling the game like before. The previous system helped us play better and enjoy the game more. We res",request bring back old pubg setting hello pubg team regular pubg player want share opinion recent update new ui change setting not comfortable many player old interface simple smooth easy use new one feel complicate confuse many player face difficulty find setting control game like previous system help u play better enjoy game re,request | bring | back | old | pubg | setting | hello | pubg | team | regular | pubg | player | want | share | opinion | recent | update | new | ui | change | setting | not | comfortable | many | player | old | interface | simple | smooth | easy | use | new | one | feel | complicate | confuse | many | player | face | difficulty | find | setting | control | game | like | previous | system | help | u | play | better | enjoy | game | re,54,3,neutral
REV00022,Google Play Store,Games - Social Deduction,"this game has potential, however the game also has a really toxic community (not all there's some wholesome people out there). and 3 imposters can so easily mess with the voting making it almost impossible to vote them if only one cremate disagreed. these aren't really the game's fault but it's still annoying.",game potential however game also really toxic community not 's wholesome people imposter easily mess vote make almost impossible vote one cremate disagree n't really game 's fault 's still annoy,game | potential | however | game | also | really | toxic | community | not | 's | wholesome | people | imposter | easily | mess | vote | make | almost | impossible | vote | one | cremate | disagree | n't | really | game | 's | fault | 's | still | annoy,31,4,positive
REV00023,Google Play Store,Games - Endless Runner,"I love this app so much and can get quite addicting. But one thing I don't like is how you can't recover an old account easily, I would like if it added where you can get your old accounts back. Another issue is sometimes there is a slight lag and it causes me to hit something in-game and I have to restart the run again.",love app much get quite addict one thing n't like ca n't recover old account easily would like add get old account back another issue sometimes slight lag cause hit something game restart run,love | app | much | get | quite | addict | one | thing | n't | like | ca | n't | recover | old | account | easily | would | like | add | get | old | account | back | another | issue | sometimes | slight | lag | cause | hit | something | game | restart | run,34,3,neutral
REV00024,Google Play Store,Games - Augmented Reality,"YIKES I played this game on release on my old phone, OnePlus 3. It heated up and drained the battery like crazy 8 years later I play it on my new phone, OnePlus 9. It heats up and drains the battery like crazy Sometimes the prompt buttons become unresponsive, it doesn't see the GPS, and continues having persistent issues I would imagine a game continuously developed for 8 years would address. Especially on the optimization side, since I don't even use the AR functionality",yikes play game release old phone oneplus heat drain battery like crazy year later play new phone oneplus heat drain battery like crazy sometimes prompt button become unresponsive n't see gps continue persistent issue would imagine game continuously develop year would address especially optimization side since n't even use ar functionality,yikes | play | game | release | old | phone | oneplus | heat | drain | battery | like | crazy | year | later | play | new | phone | oneplus | heat | drain | battery | like | crazy | sometimes | prompt | button | become | unresponsive | n't | see | gps | continue | persistent | issue | would | imagine | game | continuously | develop | year | would | address | especially | optimization | side | since | n't | even | use | ar | functionality,51,1,negative
REV00025,Google Play Store,Games - Sandbox,"I keep getting the error code: Creeper for some reason. I tried all the methods to fix it but nothing worked, I resetted my microsoft password tried on another microsoft account still didn't work, unistalled Minecraft and downloaded it again didn't work TRIED ALL THE METHODS! NOTHING WORKED!! asked support it kept telling to go to xbox WHICH I DID! signed in and nothing led me to minecraft! ALL THE THINGS BRO",keep get error code creeper reason try method fix nothing work resetted microsoft password try another microsoft account still n't work unistalled minecraft download n't work try method nothing work ask support keep tell go xbox sign nothing lead minecraft thing bro,keep | get | error | code | creeper | reason | try | method | fix | nothing | work | resetted | microsoft | password | try | another | microsoft | account | still | n't | work | unistalled | minecraft | download | n't | work | try | method | nothing | work | ask | support | keep | tell | go | xbox | sign | nothing | lead | minecraft | thing | bro,42,1,negative
REV00026,Google Play Store,Games - Sandbox,"This new Ore UI SUCKS. its hardcoded so there is no customisation Which is kinda frustrating as well as concerning cause this might mean they are trying to monopolize the Minecraft RP and BP packs market by making only their packs use able. also it takes a lot of time and causes a lot of lag just by simply opening Storage or global settings. AND WITH THAT, I AIN'T PLAYING TS TILL THEY REMOVE IT OR MAKE IT AN OPTINAL THING. playing this game on android sucks y'all. change my mind",new ore ui suck hardcoded no customisation kinda frustrate well concern cause might mean try monopolize minecraft rp bp pack market make pack use able also take lot time cause lot lag simply open storage global setting ai n't play t till remove make optinal thing play game android suck y'all change mind,new | ore | ui | suck | hardcoded | no | customisation | kinda | frustrate | well | concern | cause | might | mean | try | monopolize | minecraft | rp | bp | pack | market | make | pack | use | able | also | take | lot | time | cause | lot | lag | simply | open | storage | global | setting | ai | n't | play | t | till | remove | make | optinal | thing | play | game | android | suck | y'all | change | mind,53,1,negative
REV00027,Google Play Store,Games - Battle Royale,"bro this is one of the best online shooting game I've ever played , lots of games to choose from lots of character skill lots of guns and ammos and so many more to choose from. not to talk about the less data consumption bro you need to get this now . you can even play with friends close and far bro download this game quick man. #best game of the year.",bro one best online shoot game 've ever play lot game choose lot character skill lot gun ammo many choose not talk less data consumption bro need get even play friend close far bro download game quick man best game year,bro | one | best | online | shoot | game | 've | ever | play | lot | game | choose | lot | character | skill | lot | gun | ammo | many | choose | not | talk | less | data | consumption | bro | need | get | even | play | friend | close | far | bro | download | game | quick | man | best | game | year,41,5,positive
REV00028,Google Play Store,Games - Endless Runner,"Subway Surfers is a good and fun game overall. However, the gameplay starts to feel repetitive because the moves, locations, and obstacles remain mostly the same. Even after updates, it can get a bit boring since there isn’t much variation.",subway surfer good fun game overall however gameplay start feel repetitive move location obstacle remain mostly even update get bite bore since much variation,subway | surfer | good | fun | game | overall | however | gameplay | start | feel | repetitive | move | location | obstacle | remain | mostly | even | update | get | bite | bore | since | much | variation,24,4,positive
REV00029,Google Play Store,Games - Action,"This game is insane(Best), actually the only game that was never boring.The graphics are good, I like the different rarities too, and about that keep the Ultra Legendary Rarity alive 😅🫣?!?Also the trophies, Ranked mode, prestige, everything, and my favourite part is the Brawlers.Bro, they're so cool, every one is different too. Monthly events are supercalifragelistic, new skins, abilities, and most importantly bug fixes(no offense). Please make a Collab with Dragon ball z🤑.SamuraiGokuSan.",game insane best actually game never bore graphic good like different rarity keep ultra legendary rarity alive grinning_face_with_sweat face_with_peeking_eye also trophy rank mode prestige everything favourite part brawler bro 're cool every one different monthly event supercalifragelistic new skin ability importantly bug fix no offense please make collab dragon ball money mouth_face samuraigokusan,game | insane | best | actually | game | never | bore | graphic | good | like | different | rarity | keep | ultra | legendary | rarity | alive | grinning_face_with_sweat | face_with_peeking_eye | also | trophy | rank | mode | prestige | everything | favourite | part | brawler | bro | 're | cool | every | one | different | monthly | event | supercalifragelistic | new | skin | ability | importantly | bug | fix | no | offense | please | make | collab | dragon | ball | money | mouth_face | samuraigokusan,53,5,positive
REV00030,Google Play Store,Games - Social Deduction,"I've been playing ever since it came out, I can say it never got BORING!! ITS SO FUNN. it's so mysterious and suspenseful *in a good way thou!* customising your avatars and playing with friends was the Best part of it!!!",'ve play ever since come say never get bore funn 's mysterious suspenseful good way thou customise avatar play friend best part,'ve | play | ever | since | come | say | never | get | bore | funn | 's | mysterious | suspenseful | good | way | thou | customise | avatar | play | friend | best | part,22,5,positive
REV00031,Google Play Store,Games - Endless Runner,I love how the amount of times I get bored and can jump into this game and try to beat my high score. this game doesn't fail to entertain me and improve my muscle memory when I need to swipe. congratulations for the og music I love hearing it. also love trying to beat other people's scores and trying to climb up the leaderboard.,love amount time get bore jump game try beat high score game n't fail entertain improve muscle memory need swipe congratulation og music love hear also love try beat people 's score try climb leaderboard,love | amount | time | get | bore | jump | game | try | beat | high | score | game | n't | fail | entertain | improve | muscle | memory | need | swipe | congratulation | og | music | love | hear | also | love | try | beat | people | 's | score | try | climb | leaderboard,35,5,positive
REV00032,Google Play Store,Games - Action,"The game was once very popular and for a good reason. But nowdays its just a poor imitation of what it once was and i am safe to say that the game is ruined. The new system is auwful compared to the old one, its confusing for both new and old players. I am saying this with the good old days in mind, and nostalgia is what keeps me to play this game. I hope you bing the old trophy road back, and that with it you bring back the old days. -with regrets, Vito",game popular good reason nowdays poor imitation safe say game ruin new system auwful compare old one confuse new old player say good old day mind nostalgia keep play game hope bing old trophy road back bring back old day regret vito,game | popular | good | reason | nowdays | poor | imitation | safe | say | game | ruin | new | system | auwful | compare | old | one | confuse | new | old | player | say | good | old | day | mind | nostalgia | keep | play | game | hope | bing | old | trophy | road | back | bring | back | old | day | regret | vito,42,5,positive
REV00033,Google Play Store,Games - Action RPG,"a little bit too much fan service but beyond that it is very good. like the new updates but I think simulanka should come back through a hidden quest line started from a moving NPC. the wonderland needs the outfits to be obtainable without money, and a nation specific wish that you must complete the arcon quest line to use.",little bite much fan service beyond good like new update think simulanka come back hide quest line start move npc wonderland need outfit obtainable without money nation specific wish must complete arcon quest line use,little | bite | much | fan | service | beyond | good | like | new | update | think | simulanka | come | back | hide | quest | line | start | move | npc | wonderland | need | outfit | obtainable | without | money | nation | specific | wish | must | complete | arcon | quest | line | use,35,3,neutral
REV00034,Google Play Store,Games - Action RPG,"The game is fun, collecting characters is great, only thing is the game is too big. I cant play anymore on my computer and its taking up way too much space on my phone. certain characters are rare and hardly ever make a comeback with newer characters being rerun fairly frequently. so unless youre willing to spend real money, be prepared to skip a few banners to get enough",game fun collect character great thing game big cant play anymore computer take way much space phone certain character rare hardly ever make comeback newer character rerun fairly frequently unless youre will spend real money prepare skip banner get enough,game | fun | collect | character | great | thing | game | big | cant | play | anymore | computer | take | way | much | space | phone | certain | character | rare | hardly | ever | make | comeback | newer | character | rerun | fairly | frequently | unless | youre | will | spend | real | money | prepare | skip | banner | get | enough,40,4,positive
REV00035,Google Play Store,Games - Social Deduction,This game is totally amazing and entertaining and over all the game is good and fun to play. But there are some glitches that have to be fixed like when there is any internet problem and we are kicked out of room by server and try to rejoin the game says that you can't join another game for some minute after intentionally disconnecting and also sometime when i join a room it stays blank and I have to leave and and join another room,game totally amaze entertain game good fun play glitch fix like internet problem kick room server try rejoin game say ca n't join another game minute intentionally disconnect also sometime join room stay blank leave join another room,game | totally | amaze | entertain | game | good | fun | play | glitch | fix | like | internet | problem | kick | room | server | try | rejoin | game | say | ca | n't | join | another | game | minute | intentionally | disconnect | also | sometime | join | room | stay | blank | leave | join | another | room,38,5,positive
REV00036,Google Play Store,Games - Puzzle,"You are making the candles bitter, by controlling my music app while playing. you keep turning it off. I like to listen to music while playing and I have to leave the game to keep turning my music app back on. very annoying 😑",make candle bitter control music app play keep turn like listen music play leave game keep turn music app back annoy expressionless_face,make | candle | bitter | control | music | app | play | keep | turn | like | listen | music | play | leave | game | keep | turn | music | app | back | annoy | expressionless_face,22,3,neutral
REV00037,Google Play Store,Games - MOBA,"Game is fun but recently there is a serious issue with gameplay performance. Even when the ping shows green (10–20ms), the movement and skill response feel delayed. It creates a “lag” experience despite having a stable connection.This problem affect multiple players.Please look into this issue and improve server performance or fix any bugs causing this delay. The game is good,",game fun recently serious issue gameplay performance even ping show green m movement skill response feel delay create lag experience despite stable connection problem affect multiple player please look issue improve server performance fix bug cause delay game good,game | fun | recently | serious | issue | gameplay | performance | even | ping | show | green | m | movement | skill | response | feel | delay | create | lag | experience | despite | stable | connection | problem | affect | multiple | player | please | look | issue | improve | server | performance | fix | bug | cause | delay | game | good,39,3,neutral
REV00038,Google Play Store,Games - Sandbox,"The game is great, I just hate that I cannot meddle with my OWN files because of these restrictions. Because of it I can't use a single file in-game despite having all the correct files in the specific directory, furthermore, if I do try adding it by (open with..) it just fails to get imported and I've been looking for a whole week now and nothing seems to work. What's more, is that I CAN'T SEEM TO DELETE THESE FILES!! Do I have to factory reset just to do a fresh start..??",game great hate not meddle file restriction ca n't use single file game despite correct file specific directory furthermore try add open fail get import 've look whole week nothing seem work 's ca n't seem delete file factory reset fresh start,game | great | hate | not | meddle | file | restriction | ca | n't | use | single | file | game | despite | correct | file | specific | directory | furthermore | try | add | open | fail | get | import | 've | look | whole | week | nothing | seem | work | 's | ca | n't | seem | delete | file | factory | reset | fresh | start,42,1,negative
REV00039,Google Play Store,Games - Augmented Reality,"After nearly a decade and many reworks later, this game is significantly easier to get back into and feel free to do as you want. There's tons of events going on frequently to give options for availability when going out to participate catching stuff you want. Use this as an excuse to get outside and go on a long walk chasing pokemon. It's fun.",nearly decade many rework later game significantly easier get back feel free want 's ton event go frequently give option availability go participate catch stuff want use excuse get outside go long walk chase pokemon 's fun,nearly | decade | many | rework | later | game | significantly | easier | get | back | feel | free | want | 's | ton | event | go | frequently | give | option | availability | go | participate | catch | stuff | want | use | excuse | get | outside | go | long | walk | chase | pokemon | 's | fun,37,4,positive
REV00040,Google Play Store,Games - Battle Royale,I have been playing free fire since 2019 . It's a really fun and addicting game . But these recent updates has changed the game so much . The matches are almost unplayable due to character skills and loadouts . No matter how better you play if your teammates can't play properly or use their characters you'll always lose . The loadouts are too powerful . This is great disadvantage to the solo players like me .,play free fire since 's really fun addict game recent update change game much match almost unplayable due character skill loadouts no matter better play teammate ca n't play properly use character 'll always lose loadouts powerful great disadvantage solo player like,play | free | fire | since | 's | really | fun | addict | game | recent | update | change | game | much | match | almost | unplayable | due | character | skill | loadouts | no | matter | better | play | teammate | ca | n't | play | properly | use | character | 'll | always | lose | loadouts | powerful | great | disadvantage | solo | player | like,42,2,negative
REV00041,Google Play Store,Games - Strategy,this is one of thw worst games in you could possibly install on your phone e or whatever its a waste of storage! They waned my acount with 5 Years of playing the game and 10k trophies and not only that the game is so long and requires an insane amount of patience (im underating the amount of patience it takes) and now I hate this game i realy do but I took time to go back to it to write a review to let you know how bad this game is and do not install it. if there was a -100 stars I would do it.,one thw worst game could possibly install phone whatever waste storage wan acount year play game trophy not game long require insane amount patience im underating amount patience take hate game realy take time go back write review let know bad game not install star would,one | thw | worst | game | could | possibly | install | phone | whatever | waste | storage | wan | acount | year | play | game | trophy | not | game | long | require | insane | amount | patience | im | underating | amount | patience | take | hate | game | realy | take | time | go | back | write | review | let | know | bad | game | not | install | star | would,46,1,negative
